,@mattertype,@welcome
10,Rental Assistance,rent assistance
13,Rental Assistance,rental assistance
20,Rental Assistance,Need rental assistance 
23,Rental Assistance,Rent assistance
26,Rental Assistance,rent help
29,Rental Assistance,Help
30,Rental Assistance,Rent 
32,Rental Assistance,Assistance with finding a place to live
53,Rental Assistance,emergency rental assistance
55,Rental Assistance,Help with rent 
75,Rental Assistance,rental assistance
76,Rental Assistance,Rent assistance 
79,Rental Assistance,Rental assistance 
91,Rental Assistance,rental assistance
98,Rental Assistance,Need help with keeping  my place
100,Rental Assistance,Rental assistance programs for people who make over $60k
107,Rental Assistance,lawyer assistance 
109,Rental Assistance,Rental assistance 
120,Rental Assistance,rent assistance
125,Rental Assistance,Interest on last month rent ontario
132,Rental Assistance,hello i need rent ASSISTANCE
140,Rental Assistance,rent assistance
141,Rental Assistance,Rental assistance
142,Rental Assistance,Rent
148,Rental Assistance,Rent assistance 
155,Rental Assistance,Rental 
158,Rental Assistance,Rental help
166,Rental Assistance,rental help
179,Rental Assistance,Rental assistance 
181,Rental Assistance,"I was approved for an apartment and intended to add another tenant to the lease,- the landlord googled the other person and saw a felony and emailed me she did not feel comfortable renting to us due to this"
189,Rental Assistance,Rent assistance 
202,Rental Assistance,I need help to pay my rent 
208,Rental Assistance,Rental assistance 
217,Rental Assistance,Rental assistance 
220,Rental Assistance,rent assistance
222,Rental Assistance,In need of financial help with rent gas lights medical needs. On s
223,Rental Assistance,Deliquit
230,Rental Assistance,rent payment help
238,Rental Assistance,Application 
248,Rental Assistance,Rent raised 
251,Rental Assistance,Rental assistance 
258,Rental Assistance,Rental Assistance 
261,Rental Assistance,Assistance 
262,Rental Assistance,owed rent from previous residence
265,Rental Assistance,Hello. I need help with rent payment 
273,Rental Assistance,Rental assistance 
274,Rental Assistance,Rental assistant 
277,Rental Assistance,Rental assistance 
280,Rental Assistance,Rent assistance 
282,Rental Assistance,Rental assistance 
286,Rental Assistance,rental assistance
287,Rental Assistance,rental assistance
289,Rental Assistance,My landlord is trying to evict me because I wouldn’t pay rent all because of a mice infestation that we had in our apartment.. 
295,Rental Assistance,House
296,Rental Assistance,need help paying rent
298,Rental Assistance,"The Property manager called me into the office and stated that I was approved for the ERAP program. and I was to began paying my Regular rent amount,  I asked to make an appointment so I can talk about a payment plan for 2 months of regular rent. I went to my appointment to discuss a payment plan and discuss moving me into a one level unit due to the conditionof my apartment, I have Congestive heart failure and my son is a paralytic due to him being shot in 2017 Mr. Jason Hubbard stated to me during our meeting that ERAP only paid 10,000 of the $23-0"
310,Rental Assistance,Rental assistance
313,Rental Assistance,find assistance in paying rent
315,Rental Assistance,Rental assistance 
320,Rental Assistance,rental assistance
321,Rental Assistance,court appointed rental assistance
328,Rental Assistance,rental assistance
334,Rental Assistance,Financial assistance 
341,Rental Assistance,rent
343,Rental Assistance,Rental Assistance 
344,Rental Assistance,rental assistance
353,Rental Assistance,Rental hnjt
365,Rental Assistance,I am in need of rental assistant I have physical medical limitations and need help with rent
367,Rental Assistance,Rent Help
370,Rental Assistance,I’m trying to find rental assistance in my area 
372,Rental Assistance,I need rental assistance 
376,Rental Assistance,Help with paying rent
377,Rental Assistance,Rent assistance 
381,Rental Assistance,Rent 
386,Rental Assistance,Do you all help with rental assistance 
389,Rental Assistance,I need referral for rental assistance 
390,Rental Assistance,Rental assistance 
391,Rental Assistance,landlord 
400,Rental Assistance,Eviction
405,Rental Assistance,Help with rent 
406,Rental Assistance,Rent assistance 
408,Rental Assistance,Rent assistance 
411,Rental Assistance,Rent eviction
413,Rental Assistance,I left my apartment and owe back rent
420,Rental Assistance,rental assistance
426,Rental Assistance,Rental assistance 
427,Rental Assistance,Rental assistance 
430,Rental Assistance,Unable to pay past rent
438,Rental Assistance,Need help with rent assistance 
440,Rental Assistance,My house I am renting is under foreclosure and my landlord didn’t say anything. What are my options 
446,Rental Assistance,Rental assistance 
447,Rental Assistance,Rent assistance 
452,Rental Assistance,I cannot pay my rent
457,Rental Assistance,Need help
459,Rental Assistance,Rental assistance 
460,Rental Assistance,Landlord is holding me responsible for rent until another tenant is found. I have no income right now and moved back in with family in fear of eviction
462,Rental Assistance,Rent
463,Rental Assistance,rental assistance 
473,Rental Assistance,rent
474,Rental Assistance,I need rental assistance to stop my eviction 
484,Rental Assistance,Rent assistance 
485,Rental Assistance,Rental assistance 
506,Rental Assistance,rental assistance
519,Rental Assistance,Esp
523,Rental Assistance,short term help
533,Rental Assistance,A foreclosure of the apartment I'm renting
536,Rental Assistance,cant make rent payment
537,Rental Assistance,rental assistance
540,Rental Assistance,"Hello, I’ve reached out for help rental assistance and have been denied with no appeal"
552,Rental Assistance,Rental assistance 
553,Rental Assistance,I need a referal for rental asssitance
556,Rental Assistance,rental assistance 
564,Rental Assistance,I’m $744 behind on rent and I need help . I’m 9months pregnant with no help 
572,Rental Assistance,60016
581,Rental Assistance,Rent assistance 
582,Rental Assistance,rent assistance
588,Rental Assistance,Rent assistance 
595,Rental Assistance,rental assistance
596,Rental Assistance,Hello I wanted to apply for rentals assitance 
608,Rental Assistance,"I am being evicted, I haven’t been able to pay rent for more than 9 months."
609,Rental Assistance,Rental assistance 
610,Rental Assistance,I need renter assistance
611,Rental Assistance,Paying rent 
617,Rental Assistance,Eviction 
619,Rental Assistance,Rent assitance
621,Rental Assistance,Rental assistance available 
624,Rental Assistance,Rental assistance 
628,Rental Assistance,rent 
630,Rental Assistance,how much are late fees
632,Rental Assistance,rent
647,Rental Assistance,Rental assistance 
648,Rental Assistance,Rental assistance 
651,Rental Assistance,Help with rental assistance
654,Rental Assistance,Rent
655,Rental Assistance,House 
657,Rental Assistance,Rent assistance 
661,Rental Assistance,Rental assistance 
662,Rental Assistance,Rent assistance 
663,Rental Assistance,Rental assistance 
665,Rental Assistance,I am facing eviction due to late rent payments 
673,Rental Assistance,Rental assistance 
677,Rental Assistance,Rental Assistance
678,Rental Assistance,Rental assistance
679,Rental Assistance,I need rent assistance 
680,Rental Assistance,rent assistance
682,Rental Assistance,I’ve been issued a 5 day and I don’t have money to pay my rent
688,Rental Assistance,Rental assistance suburbs
696,Rental Assistance,rental assistance
706,Rental Assistance,rental assiatance
708,Rental Assistance,rental assistance
711,Rental Assistance,Ayuda de renta
713,Rental Assistance,Rental assistance 
717,Rental Assistance,I need to schedule an early resolution program zoom meeting
718,Rental Assistance,"I applied for rental assistance and was denied.  I’ve been trying to pay my rent currently but still have the amount owed from before.  The landlord has been patient and understanding but he also has other tenants who have not paid past or current rent.  The problem I have is that after the landlord started eviction proceedings against the next door tenant, the tenant called the city on the landlord and since I live in a basement that isn’t considered a legal unit, the landlord said the inspector will come back and I will have to vacate the unit.  What recourse do I have? "
719,Rental Assistance,I need to appeal the decision for rental assistance 
722,Rental Assistance,Philadelphia Pennsylvania I never 
723,Rental Assistance,I am behind on rent and afraid of eviction. Where can I find assistance?
727,Rental Assistance,my rental assistance application was approved but never paid
737,Rental Assistance,rental assistance
743,Rental Assistance,Yes I’m trying to get more information on rental assistance 
747,Rental Assistance,Rent assistance 
748,Rental Assistance,Rent relief 
749,Rental Assistance,Can’t pay rent 
751,Rental Assistance,Need help paying rent
753,Rental Assistance,Rental assistance 
754,Rental Assistance,Emergency Rental Funding to avoid Eviction and renew lease
759,Rental Assistance,Rent asisstance
760,Rental Assistance,Rental assistance 
761,Rental Assistance,"Rent problem with my roommate,and our lease isn't over yet"
780,Rental Assistance,rental assistance
781,Rental Assistance,Move in fee
792,Rental Assistance,Rental assistance 
794,Rental Assistance,Lost job can’t pay rent
795,Rental Assistance,Need help.paying rent
796,Rental Assistance,Rent 
805,Rental Assistance,Rent
810,Rental Assistance,Rental Assistance 
824,Rental Assistance,Rental assistance 
829,Rental Assistance,Rental assistance
834,Rental Assistance,I recently found out the property im renting is not owned by the person charging me rent 
836,Rental Assistance,Finding  a home & help with rent
842,Rental Assistance,RENT ASSISTANCE
843,Rental Assistance,Rental assistance 
859,Rental Assistance,rental assistance
864,Rental Assistance,rent renewal
865,Rental Assistance,Rent assistance 
868,Rental Assistance,pay move out fee
872,Rental Assistance,Rent assistance 
876,Rental Assistance,Rent
887,Rental Assistance,Hi I was looking for help with my rent 
888,Rental Assistance,Assistant with emergency rental assistance 
891,Rental Assistance,Rental assistance 
897,Rental Assistance,Rental Assistance 
900,Rental Assistance,I need help with rent 
903,Rental Assistance,Renters assistance 
904,Rental Assistance,Rental assistance 
915,Rental Assistance,Rental assistance
919,Rental Assistance,Rental assistance 
920,Rental Assistance,Rent reduction 
922,Rental Assistance,Chicago
925,Rental Assistance,Rental assistance 
929,Rental Assistance,Esp
942,Rental Assistance,I fell behind in rent due to a decrease in inco.mee
953,Rental Assistance,rent assistance
954,Rental Assistance,rent
955,Rental Assistance,Pick from a list
960,Rental Assistance,rent
966,Rental Assistance,Rental assistance 
969,Rental Assistance,"I am renting in IL, but did not sign a lease. Can I move out?"
979,Rental Assistance,I am a Retired Disabled STALKING/ CRIME VICTIM LIVING in PURE GHETTO HELL TOLERATING BEING ILLEGALLY VIDEO CREEPY TAPED AND FOLLOWED TO LOCAL 
985,Rental Assistance,Need help section 8 voucher being terminated
987,Rental Assistance,Rental assistance 
992,Rental Assistance,Rental assistance 
997,Rental Assistance,i need rental and mortgage assistance
999,Rental Assistance,I need help renting an apartment.  I got money save for a cheap apartment that I can afford. Can someone assist me in getting apartment I am homeless live from place to place
1001,Rental Assistance,I was just chatting with someone about receiving emergency funds for past due rent because I was facing an eviction and they gave me a website to contact my zip code is 60406 can you please send me the link again
1002,Rental Assistance,I was given an eviction notice because I am behind and rent and I need emergency funds immediately for back rent payments
1005,Rental Assistance,Needs help paying rent 
1007,Rental Assistance,Motion to stay
1008,Rental Assistance,Renta assistant 
1013,Rental Assistance,Rental Payment
1022,Rental Assistance,I don't know who owns my building 
1024,Rental Assistance,rental assisatance
1025,Rental Assistance,rent assistance
1026,Rental Assistance,Landlord threatening legal Acton
1027,Rental Assistance,Pending rental assistance application and landlord is threatening v legal action
1030,Rental Assistance,Rental assistance
1033,Rental Assistance,Asia Wheeler 
1035,Rental Assistance,behind on rent
1037,Rental Assistance,Rental assistance 
1045,Rental Assistance,Need help with paying rent
1052,Rental Assistance,Rent assistance
1055,Rental Assistance,rent
1061,Rental Assistance,Rental assistance 
1064,Rental Assistance,I have been unable to pay my rent for the last three months due to me being out of work. 
1065,Rental Assistance,"Currently homeless, living in my vehicle "
1079,Rental Assistance,rent help
1082,Rental Assistance,Passed due rent
1086,Rental Assistance,Emergency Rent Assistance
1087,Rental Assistance,Rental assistance 
1088,Rental Assistance,I wanted to know how much can a landlord raise the rent at one time
1090,Rental Assistance,What do I do next after receiving an email from ERP?
1091,Rental Assistance,emergency rental assistance
1093,Rental Assistance,Rental assistance 
1097,Rental Assistance,I CANT PAY RENT
1099,Rental Assistance,Rental assistance
1108,Rental Assistance,Application status
1120,Rental Assistance,rental
1125,Rental Assistance,Rent
1131,Rental Assistance,Ashley dagostino 
1132,Rental Assistance,My landlord will not allow me to make a partial payment toward my outstanding rent balance and has threatened legal action
1133,Rental Assistance,hh
1134,Rental Assistance,I need rental assistance. I have a 5 day notice to move
1139,Rental Assistance,rental assistance programs
1141,Rental Assistance,Past due rent issues
1147,Rental Assistance,Yes I Need Assistance Paying My Rent
1154,Rental Assistance,rental assistance
1160,Rental Assistance,Rental
1167,Rental Assistance,Help with rent fast
1168,Rental Assistance,Rental assistance 
1170,Rental Assistance,rental assistance
1172,Rental Assistance,Rent assistentace 
1188,Rental Assistance,Rental assistance 
1191,Rental Assistance,Rental assistance 
1194,Rental Assistance,I am seeking rental assistance for one months rent
1197,Rental Assistance,Rental assistance 
1213,Rental Assistance,Rental assistance
1214,Rental Assistance,Rental assistant 
1222,Rental Assistance,renters assistance
1232,Rental Assistance,Rent
1234,Rental Assistance,I need help with my rent 
1237,Rental Assistance,Help on rent 
1238,Rental Assistance,Rental assistant 
1249,Rental Assistance,Rental assistance 
1261,Rental Assistance,"I’m currently being ask to ask Rental assistance for money, I don’t owe monies on a account that’s on my name& the property management is aware, but the property manager & the social worker are asking me to apply for assistance & ask for monies that They know I don’t owe, mind you for a whole year they have been saying to me don’t worry we are aware & we are working on it. Last Thursday I got a call asking me to apply for assistance on something I don’t owe, instead of them doing what they said they should do they want me to not be truthful & ask for monies that I don’t owe, please I need assistance"
1264,Rental Assistance,My landlord says I need to give 60 days notice to vacate but I’m currently renting month to month
1267,Rental Assistance,Rental assistance 
1268,Rental Assistance,Rental assistance
1269,Rental Assistance,I apply for the rental assistance program they apply money towards my rent but I still have a outstanding balance and received a 30 day notice 
1274,Rental Assistance,Pay rent late
1287,Rental Assistance,i need rental assistance
1290,Rental Assistance,My Mother pass away i am having a problem with paying my rent at this moment i am at need of help 
1291,Rental Assistance,Person I’ve been renting a room from is threatening to change the locks on the first
1300,Rental Assistance,Rental assistance 
1301,Rental Assistance,Need renter's assistance 
1310,Rental Assistance,Rental assistance 
1318,Rental Assistance,Emergency Rent Assistant
1319,Rental Assistance,rent
1320,Rental Assistance,Rent payment 
1324,Rental Assistance,just getting over covid and need rental assistance
1328,Rental Assistance,Hi! I forfeited an apartment before moving in. The property is trying to charge me first month’s rent after they took my deposit. 
1340,Rental Assistance,Rental Assistance 
1345,Rental Assistance,Rent 
1353,Rental Assistance,what is the income limit for a household of 6
1355,Rental Assistance,late rent
1356,Rental Assistance,Lost job
1359,Rental Assistance,Legal
1362,Rental Assistance,Rent
1365,Rental Assistance,Rent
1366,Rental Assistance,I need help paying my rent
1370,Rental Assistance,Era
1374,Rental Assistance,Rent 
1376,Rental Assistance,Rental assistance 
1377,Rental Assistance,rental assistance
1378,Rental Assistance,Financial assistance 
1379,Rental Assistance,Rent assistance 
1388,Rental Assistance,Help with paying rent 
1401,Rental Assistance,Rent assistance 
1407,Rental Assistance,Rental assistance 
1416,Rental Assistance,I am behind in my rent
1421,Rental Assistance,I've been paying my rent and was a little behind and apply with a rental assistance and never got it my landlord took me to court for eviction and carpals help me fill out an application for rental assistance my paperwork got lost in the system and now I'm being evicted can they help me put another application in for background
1422,Rental Assistance,Rental assistance 
1425,Rental Assistance,Help with rent
1426,Rental Assistance,Emergency housing
1427,Rental Assistance,Rental assistance 
1428,Rental Assistance,Rental assistance 
1430,Rental Assistance,Help with rent
1438,Rental Assistance,I need help paying rent
1468,Rental Assistance,Charlai
1475,Rental Assistance,Rental assistance 
1481,Rental Assistance,Pay my rent
1482,Rental Assistance,Esp 
1491,Rental Assistance,Hi my name is rayshaun i was looking to try to get help with rental assistance 
1499,Rental Assistance,Rental assistance 
1506,Rental Assistance,Rent
1507,Rental Assistance,Rent assistance
1509,Rental Assistance,Rental assistance 
1510,Rental Assistance,Rental assistance 
1511,Rental Assistance,"I recieved a rent notice  over 29,000 d"
1513,Rental Assistance,Programs that help pay rent
1526,Rental Assistance,Hi I had a question on if my landlord can raise my rent on a 1 bedroom if my partner moves in with me
1537,Rental Assistance,is there a phone number that I can call
1539,Rental Assistance,paying rent
1542,Rental Assistance,Paying rent after lease expires 
1543,Rental Assistance,I need help with getting my rent back to current 
1546,Rental Assistance,Can't pay rent
1562,Rental Assistance,rental assistance 
1563,Rental Assistance,Renting 
1571,Rental Assistance,Rental assistance 
1577,Rental Assistance,rent assistance 
1578,Rental Assistance,Rental assistance 
1587,Rental Assistance,rental assistance
1588,Rental Assistance,Rental assistance payment check
1590,Rental Assistance,I need rent assistance 
1602,Rental Assistance,rental assistance 
1605,Rental Assistance,Rental assistance 
1607,Rental Assistance,Renters rights 
1611,Rental Assistance,rental assistance
1615,Rental Assistance,Rental assistance 
1616,Rental Assistance,Rental assistance 
1622,Rental Assistance, disabled looking for rental assistance
1623,Rental Assistance,"Hi , I need emergency funds for rent "
1625,Rental Assistance,rental assistance 
1630,Rental Assistance,rent
1635,Rental Assistance,Open application
1638,Rental Assistance,I w as a client of committee for better housing in 2018 my situation outcome was resolved by records being sealed but applied for a apartment in 2021 with Pangea rental and a report came up on my screening from rentgrow 
1639,Rental Assistance,Rent 
1646,Rental Assistance,Help paying rent
1650,Rental Assistance,emergency rental asst
1651,Rental Assistance,Rental assistance 
1652,Rental Assistance,Eviction assistance 
1655,Rental Assistance,i need help paying my rent 
1664,Rental Assistance,rent help
1665,Rental Assistance,Rental assistance 
1670,Rental Assistance,Rental assistance 
1677,Rental Assistance,rent payment assistance
1679,Rental Assistance,Rent problems
1683,Rental Assistance,rental assistance
1685,Rental Assistance,rent assistance
1691,Rental Assistance,Hi....need rental assistance
1692,Rental Assistance,help with disputing rent increase
1693,Rental Assistance,30 day notice 
1695,Rental Assistance,What can I do if my landlord is not applying money to my rent that I was approved for through ERA
1697,Rental Assistance,rental assistance
1700,Rental Assistance,Rent 
1706,Rental Assistance,rent
1707,Rental Assistance,My rent
1708,Rental Assistance,Filing appeal for denial of rental assistance application 
1712,Rental Assistance,Need rental assistance
1713,Rental Assistance,rent increase
1720,Rental Assistance,How to apply for help 
1724,Rental Assistance,increase rent
1725,Rental Assistance,Rental assistance 
1726,Rental Assistance,Rental assistance 
1727,Rental Assistance,Back rent
1731,Rental Assistance,Rental assistance 
1742,Rental Assistance,Rental assist
1743,Rental Assistance,Rent
1746,Rental Assistance,rent
1750,Rental Assistance,help paying rent
1751,Rental Assistance,Rent
1756,Rental Assistance,Looking for rental assistane
1763,Rental Assistance,i’m behind on rent & need help i don’t want to be homeless 
1771,Rental Assistance,Court Based Rental Assistance Application
1773,Rental Assistance,Rental assistance 
1777,Rental Assistance,"I am an unofficial tenant. My boyfriend, the lease holder, moved out and the landlord doesn’t want to rent directly to me. "
1804,Rental Assistance,5 day notice and behind on rent with 4 kids. 
1805,Rental Assistance,Rental 
1809,Rental Assistance,I'm behind on my rent can I get assistance  I'm also in a  low Income housing program 
1811,Rental Assistance,I need help with rent 
1812,Rental Assistance,Rent
1813,Rental Assistance,Rent payments
1814,Rental Assistance,laid off
1815,Rental Assistance,Rental assistance 
1821,Rental Assistance,Rent 
1827,Rental Assistance,help with paying rent
1831,Rental Assistance,Rental assistance 
1834,Rental Assistance,Rental assistance
1839,Rental Assistance,Lease issues
1841,Rental Assistance,Rental assistance 
1849,Rental Assistance,Help to pay rent and bills
1852,Rental Assistance,rent lease
1854,Rental Assistance,Rental assistance 
1859,Rental Assistance,rent increase
1861,Rental Assistance,rent aid
1864,Rental Assistance,renal assistance
1871,Rental Assistance,I am unable to pay rent do to being in a motor accident that broke both ankles 
1880,Rental Assistance,pandemic rental rules
1890,Rental Assistance,laws
1899,Rental Assistance,"I was late with rent once when I was in a mental hospital. Now my landlord won't accept my payments is evicting me, what can i do?"
1903,Rental Assistance,Rental assistance 
1910,Rental Assistance,rental assistance
1911,Rental Assistance,I need help with my rent
1917,Rental Assistance,Hi my statues is asylum my house cok contract is on my nephew but on last Sunday night before 
1929,Rental Assistance,AM LOOKING FIR RENT ASSISTANT AM IN PUBLIC HOUSING AND AM BEHIND COUPLE MONTHS
1930,Rental Assistance,Rental assistance 
1932,Rental Assistance,Lawyer 
1937,Rental Assistance,help with rent payment
1938,Rental Assistance,Rent assistance 
1940,Rental Assistance,Lowering my monthly rent
1948,Rental Assistance,Owe back rent and needs help assistant to pay my rent ASAP cause doesn't have no income coming in now
1951,Rental Assistance,passed due rent assistance
1952,Rental Assistance,I need rental assistance 
1954,Rental Assistance,my tebt
1960,Rental Assistance,Help paying rent
1961,Rental Assistance,Jow can i get help paying back rent do now and o don't have no income come in right now
1965,Rental Assistance,Rental and utility assistance 
1967,Rental Assistance,HOUSING
1968,Rental Assistance,BEHIND ON RENT
1972,Rental Assistance,"""My landlord sent notice that he is raising my rent, but he did not specify by how much. Does the fair notice ordinance require that the landlord specify what the new rent will be in order to give proper notice?"
1974,Rental Assistance,Rent assistance 
1979,Rental Assistance,Rental assistance pay my rent and my landlord cheating me out my months 
1986,Rental Assistance,Rental assistance 
2008,Rental Assistance,Rent assistance 
2010,Rental Assistance,Rental assistance 
2012,Rental Assistance,Rental assistance 
2015,Rental Assistance,rental assistance
2022,Rental Assistance,Free rental assistance 
2023,Rental Assistance,rental assistance 
2026,Rental Assistance,Rental assistance program 
2028,Rental Assistance,rental agreement
2034,Rental Assistance,I need a house for rent
2040,Rental Assistance,Rent relief
2042,Rental Assistance,Rent assistance 
